symbol,ticker,name,sector,isin
360ONE,360ONE.NS,360 ONE WAM Ltd.,Financial Services,INE466L01038
3MINDIA,3MINDIA.NS,3M India Ltd.,Diversified,INE470A01017
ABB,ABB.NS,ABB India Ltd.,Capital Goods,INE117A01022
ACC,ACC.NS,ACC Ltd.,Construction Materials,INE012A01025
ACMESOLAR,ACMESOLAR.NS,ACME Solar Holdings Ltd.,Power,INE622W01025
AIAENG,AIAENG.NS,AIA Engineering Ltd.,Capital Goods,INE212H01026
APLAPOLLO,APLAPOLLO.NS,APL Apollo Tubes Ltd.,Capital Goods,INE702C01027
ASKAUTOLTD,ASKAUTOLTD.NS,ASK Automotive Ltd.,Automobile and Auto Components,INE491J01022
AUBANK,AUBANK.NS,AU Small Finance Bank Ltd.,Financial Services,INE949L01017
AWL,AWL.NS,AWL Agri Business Ltd.,Fast Moving Consumer Goods,INE699H01024
AXISCADES,AXISCADES.NS,AXISCADES Technologies Ltd.,Capital Goods,INE555B01013
AADHARHFC,AADHARHFC.NS,Aadhar Housing Finance Ltd.,Financial Services,INE883F01010
AARTIDRUGS,AARTIDRUGS.NS,Aarti Drugs Ltd.,Healthcare,INE767A01016
AARTIIND,AARTIIND.NS,Aarti Industries Ltd.,Chemicals,INE769A01020
AARTIPHARM,AARTIPHARM.NS,Aarti Pharmalabs Ltd.,Healthcare,INE0LRU01027
AAVAS,AAVAS.NS,Aavas Financiers Ltd.,Financial Services,INE216P01012
ABBOTINDIA,ABBOTINDIA.NS,Abbott India Ltd.,Healthcare,INE358A01014
ACE,ACE.NS,Action Construction Equipment Ltd.,Capital Goods,INE731H01025
ACUTAAS,ACUTAAS.NS,Acutaas Chemicals Ltd.,Healthcare,INE00FF01025
ADANIENSOL,ADANIENSOL.NS,Adani Energy Solutions Ltd.,Power,INE931S01010
ADANIENT,ADANIENT.NS,Adani Enterprises Ltd.,Metals & Mining,INE423A01024
ADANIGREEN,ADANIGREEN.NS,Adani Green Energy Ltd.,Power,INE364U01010
ADANIPORTS,ADANIPORTS.NS,Adani Ports and Special Economic Zone Ltd.,Services,INE742F01042
ADANIPOWER,ADANIPOWER.NS,Adani Power Ltd.,Power,INE814H01029
ATGL,ATGL.NS,Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,INE399L01023
ABCAPITAL,ABCAPITAL.NS,Aditya Birla Capital Ltd.,Financial Services,INE674K01013
ABFRL,ABFRL.NS,Aditya Birla Fashion and Retail Ltd.,Consumer Services,INE647O01011
ABLBL,ABLBL.NS,Aditya Birla Lifestyle Brands Ltd.,Consumer Services,INE14LE01019
ABREL,ABREL.NS,Aditya Birla Real Estate Ltd.,Realty,INE055A01016
ABSLAMC,ABSLAMC.NS,Aditya Birla Sun Life AMC Ltd.,Financial Services,INE404A01024
CPPLUS,CPPLUS.NS,Aditya Infotech Ltd.,Capital Goods,INE819V01029
AVL,AVL.NS,Aditya Vision Ltd.,Consumer Services,INE679V01027
ADVENZYMES,ADVENZYMES.NS,Advanced Enzyme Tech Ltd.,Healthcare,INE837H01020
AEGISLOG,AEGISLOG.NS,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,INE208C01025
AEGISVOPAK,AEGISVOPAK.NS,Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,INE0INX01018
AEQUS,AEQUS.NS,Aequs Ltd.,Capital Goods,INE947N01017
AETHER,AETHER.NS,Aether Industries Ltd.,Chemicals,INE0BWX01014
AFCONS,AFCONS.NS,Afcons Infrastructure Ltd.,Construction,INE101I01011
AFFLE,AFFLE.NS,Affle 3i Ltd.,Information Technology,INE00WC01027
AHLUCONT,AHLUCONT.NS,Ahluwalia Contracts (India) Ltd.,Construction,INE758C01029
AJANTPHARM,AJANTPHARM.NS,Ajanta Pharmaceuticals Ltd.,Healthcare,INE031B01049
AKUMS,AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,INE09XN01023
APLLTD,APLLTD.NS,Alembic Pharmaceuticals Ltd.,Healthcare,INE901L01018
ALIVUS,ALIVUS.NS,Alivus Life Sciences Ltd.,Healthcare,INE03Q201024
